MODE,NAME, HIGH_SCORE
Dancing snake,Shivansh,530
Dancing snake,Lavani,550
Dancing snake,Laiba,690
Dancing snake,Shrushti,440
Dancing snake,Piyush,0
Dancing snake,Piyush,920
Dancing snake Modified,Shrushti,340
Dancing snake,Shivansh Gupta,0
Dancing snake,Shivansh,200
Dancing snake,Shiv,0
Dancing snake,Shiv,0
Dancing snake,Shiv,0
Dancing snake,S,0
Dancing snake,S,0
Dancing snake,Shiv,0
Dancing snake,S,0
Dancing snake,S,460
Dancing snake,S,10
Dancing snake,Shivansh,300
Dancing snake,Shivansh,30
